suite,bench,kernel,compulsory_miss,other_miss
polybench_gpu,syrk,syrk_kernel,0.004497041420118343,0.0
polybench_gpu,2dconv,Convolution2D_kernel,0.12604042806183116,0.054102259215219974
polybench_gpu,3dconv,convolution3D_kernel,0.25477707006369427,0.0
polybench_gpu,mvt,mvt_kernel2,0.5024390243902439,0.0
polybench_gpu,mvt,mvt_kernel1,0.030478783215955495,0.8111240160975322
polybench_gpu,bicg,bicg_kernel2,0.030421401515151516,0.7553488991477273
polybench_gpu,bicg,bicg_kernel1,0.501953125,0.0
polybench_gpu,gemm,gemm_kernel,0.07992202729044834,0.0
polybench_gpu,corr,std_kernel,0.2826187253937008,0.08461683378444881
polybench_gpu,corr,mean_kernel,0.5694444444444444,0.03779141865079365
polybench_gpu,corr,reduce_kernel,0.34293193717277487,0.0
polybench_gpu,syr2k,syr2k_kernel,0.0043792164753225235,0.05574624215883536
polybench_gpu,fdtd2d,fdtd_step1_kernel,0.7086614173228346,0.0
polybench_gpu,fdtd2d,fdtd_step2_kernel,0.4519230769230769,0.0
polybench_gpu,fdtd2d,fdtd_step3_kernel,0.5945945945945946,0.10754504504504504
polybench_gpu,atax,atax_kernel1,0.030478783215955495,0.8367017813813102
polybench_gpu,atax,atax_kernel2,0.5024390243902439,0.0
polybench_gpu,covar,mean_kernel,0.5694444444444444,0.05062236483134921
polybench_gpu,covar,reduce_kernel,0.5059055118110236,0.0
polybench_gpu,gesummv,gesummv_kernel,0.029582399908093516,0.9446766040553737
parboil,bfs,BFS_in_GPU_kernel,0.06898310708749548,0.9101174233232138
parboil,cutcp,cuda_cutoff_potential_lattice6overlap,0.15049329623071087,0.1307361497596762
parboil,lbm,performStreamCollide_kernel,1.0,0.0
parboil,histo,histo_final_kernel,1.0,0.0
parboil,histo,histo_intermediates_kernel,0.5264270613107822,0.0
parboil,histo,histo_prescan_kernel,0.257458009526197,0.14013537227375283
parboil,histo,histo_main_kernel,1.0,0.0
parboil,mri-g,scan_inter2_kernel,0.5,0.0
parboil,mri-g,binning_kernel,0.5905352112676057,0.37701408450704227
parboil,mri-g,splitSort,1.0,0.0
parboil,mri-g,uniformAdd,1.0,0.0
parboil,mri-g,scan_inter1_kernel,0.5,0.0
parboil,mri-g,scan_L1_kernel,1.0,0.0
parboil,mri-g,splitRearrange,0.857421875,0.010546875
parboil,mri-q,ComputePhiMag_GPU,1.0,0.0
parboil,mri-q,ComputeQ_GPU,1.0,0.0
parboil,sad,larger_sad_calc_16,0.5289008455034588,0.02336664104534973
parboil,sad,mb_sad_calc,0.0021357687329210413,0.0520566661872573
parboil,sad,larger_sad_calc_8,0.5328185328185329,0.023166023166023165
parboil,stencil,block2D_hybrid_coarsen_x,0.48761556106489956,0.2931485900970829
parboil,sgemm,mysgemmNT,0.6470588235294118,0.0
parboil,tpacf,gen_hists,0.20937752627324172,0.09849097278361628
parboil,spmv,spmv_jds,0.2924187725631769,0.0
